1	1st Trimester	1	1	ANC	Pregnancy	N/A	"Congratulations you will be parents soon! Mother, have you gone for your first health check? If not, then go now to the health facility with your partner."	154	
2	1st Trimester	1	3	Malaria	Pregnancy	N/A	Health Tip: Do you sleep under a mosquito net? If not then please do so. This will prevent malaria which can harm the mother and unborn child. 	143	
3	1st Trimester	1	5	PMTCT	Pregnancy	N/A	"Did you know that the spread of HIV from mother to child can be stopped? After testing, HIV infected mother can take medicine to protect baby from infection."	157	
4	1st Trimester	2	1	PMTCT	Pregnancy	N/A	"Dear Couple, do you know your HIV status? The first step towards a healthy pregnancy is knowing your HIV status. Go to health facility now and test for HIV. "	157	
5	1st Trimester	2	3	Birth Planning	Pregnancy	N/A	"Dear Couple, children are a blessing but can also cause stress if you do not plan early. Plan now for the pregnancy and for the first six months after delivery."	160	
6	1st Trimester	2	5	Nutrition	Pregnancy	N/A	"Tip from Mother Reminder: keep clean water and drink only boiled water. Drinking water directly from ponds, rivers or lakes can make mother and child sick."	155	
7	1st Trimester	3	1	ANC	Pregnancy	N/A	"Hello Madam, are you taking iron and foliate tablets? They are important for a healthy baby and help maintain your blood level. Remember to take them every day!"	160	
8	1st Trimester	3	3	Hygiene	Pregnancy	N/A	"Madam, keep your body clean, bathe regularly, brush your teeth every day, and wash your hands after using the latrine, before eating and before preparing food."	159	
9	1st Trimester	3	5	Nutrition	Pregnancy	N/A	Health Tip: Did you know that soya; ground nuts; beans; milk; chicken; meat and fish are body building foods? Expectant mothers should eat these often.	151	
10	1st Trimester	4	1	Birth Planning	Pregnancy	N/A	"Couple, where will you have your baby? Who will help the mother in a complicated situation? Plan together and involve those close to you for help. "	147	
11	1st Trimester	4	3	Danger Signs	Pregnancy	N/A	"Health Tip: If the expectant mother has bleeding, severe abdominal pain, fever, headache, sudden poor vision or swelling of the body, see a doctor NOW."	151	
12	1st Trimester	4	5	Danger Signs	Pregnancy	N/A	"Madam, if you have a discharge, sores on your private parts, or pain in lower abdomen go to a health facility NOW for treatment. Do not wait for later!"	151	
13	1st Trimester	5	1	Other	Pregnancy	N/A	"Dear expectant Father, all children are a blessing. Support your partner for a healthy pregnancy and happy family."	114	
14	1st Trimester	5	3	Birth Planning	Pregnancy	N/A	"Madam, have you told someone you trust about your pregnancy? Make sure to talk to a friend or family member for support."	120	
15	1st Trimester	5	5	ANC	Pregnancy	N/A	"Madam, an expectant mother should visit the health facility at least 4 times before giving birth. Go now and check your health and that of your baby. "	150	
16	1st Trimester	6	1	Malaria	Pregnancy	N/A	Health Tip: Prevent malaria by closing windows and doors by 6pm and sleep under a mosquito net. Contact a health worker for a free mosquito net or buy one.	155	
17	1st Trimester	6	3	ANC	Pregnancy	N/A	"Couple, your child should be delivered at a health facility with a doctor, nurse or midwife. Visit the health facility now and know your estimated birth date."	158	
18	1st Trimester	6	5	Malaria	Pregnancy	N/A	"Madam, if you have a fever, headache, joint pains, poor appetite, nausea, vomiting, diarrhoea, chest pain or look pale, see a Doctor now and test for Malaria."	158	
19	1st Trimester	7	1	PMTCT	Pregnancy	N/A	"Dear Couple, always use a condom during sex. This prevents infection of HIV, syphilis and other sexually transmitted diseases, protecting you and your baby. "	157	
20	1st Trimester	7	3	Nutrition	Pregnancy	N/A	"Madam, stay healthy! Pregnant women should not use alcohol, drugs, tobacco or herbal medicines because these can harm your baby. "	129	
21	1st Trimester	7	5	Nutrition	Pregnancy	N/A	"Madam, for good health, do not eat soil or clay. Eat Carrots; pineapple; paw paw; greens; mango, avocado, cabbage and tomato for a healthy diet."	144	
22	1st Trimester	8	1	ANC	Pregnancy	N/A	"Dear Madam, regular light exercise is good for both you and your baby. Keep fit and healthy so you can return to your normal routine after birth."	145	
23	1st Trimester	8	3	ANC	Pregnancy	N/A	"Dear Couple, if the pregnancy is complicated the expectant mother should see a doctor more than 4 times during pregnancy. Follow the health workers advice."	155	
24	1st Trimester	8	5	ANC	Pregnancy	N/A	Health Tip: When a baby is born dead it is known as a still birth. Going to a health facility for regular check up can prevent still births.	140	
25	1st Trimester	9	1	PMTCT	Pregnancy	N/A	"Dear Couple, be responsible and remain faithful to your partner. This will help you avoid HIV infection, infection of others and to build a happy family."	153	
26	1st Trimester	9	3	Other	Pregnancy	N/A	"Dear expectant Parents, all children are equal, do not get depressed about the sex of the baby and be thankful for the blessing of a child."	139	
27	1st Trimester	9	5	ANC	Pregnancy	N/A	Hello Couple! Has the expectant mother gone to a health facility? She should be checked at least 4 times for a healthy pregnancy and baby.	138	
28	1st Trimester	10	1	PMTCT	Pregnancy	N/A	"Did you know that the spread of HIV from mother to child can be stopped? After testing, HIV infected mother can take medicine to protect baby from infection."	157	
29	1st Trimester	10	3	Malaria	Pregnancy	N/A	"Dear Couple, do you sleep under a mosquito net? If not then please do so. This will prevent malaria which can harm the mother and unborn child. "	144	
30	1st Trimester	10	5	Malaria	Pregnancy	N/A	"Madam, if you have a fever, headache, joint pains, poor appetite, nausea, vomiting, diarrhoea, chest pain or look pale, see a Doctor now and test for Malaria."	158	
31	1st Trimester	11	1	PMTCT	Pregnancy	N/A	"Dear Couple, always use a condom during sex. This prevents infection of HIV, syphilis and other sexually transmitted diseases, protecting you and your baby. "	157	
32	1st Trimester	11	3	Nutrition	Pregnancy	N/A	"Madam, stay healthy! Pregnant women should not use alcohol, drugs, tobacco or herbal medicines because these can harm your baby. "	129	
33	1st Trimester	11	5	Birth Planning	Pregnancy	N/A	"Dear Couple, planning is necessary. Plan early for the health facility you will use, transport, money needed, and the help you will need at home."	145	
34	1st Trimester	12	1	Nutrition	Pregnancy	N/A	"Madam, eat 4 meals a day and in between meals. Eat a variety of food like fruit, vegetables, bread, rice, milk, eggs, and meat for a healthy pregnancy."	151	
35	1st Trimester	12	3	Birth Planning	Pregnancy	N/A	"Madam, have you told someone you trust about your pregnancy? Talk to a friend or family member for support."	107	
36	1st Trimester	12	5	ANC	Pregnancy	N/A	At the health facility a health worker will check your blood pressure and feel your abdomen. They will tell you around what date your baby should be born.	154	
37	1st Trimester	13	1	ANC	Pregnancy	N/A	"Madam, from about four months pregnant, you should feel your baby move often. If you think that your baby is not moving, go to health facility for a check."	155	
38	1st Trimester	13	3	ANC	Pregnancy	N/A	"Dear expectant Mother, when you visit the health facility for antenatal care, get immunised against tetanus to protect you and your baby."	137	
39	1st Trimester	13	5	ANC	Pregnancy	N/A	"Expectant Mother, when you give birth normally, you should stay at the health facility for at least 6 hours after delivery to check you and your baby's health."	159	
40	2nd Trimester	14	1	ANC	Pregnancy	N/A	"Congratulations you will be parents soon! Mother, have you gone for your first health check? If not, then go now to the health facility with your partner."	154	
41	2nd Trimester	14	3	Other	Pregnancy	N/A	"Dear expectant Father, help your partner around the house, with hard work such as digging and fetching water to avoid complications with the pregnancy."	151	
42	2nd Trimester	14	5	PMTCT	Pregnancy	N/A	"Dear Couple, do you know your HIV status? Take action, visit the health facility for testing and live a healthy life."	117	
43	2nd Trimester	15	1	Birth Planning	Pregnancy	N/A	"Dear Couple, planning is needed for safe delivery. Plan early for the health facility you will use, transport, money needed, and the help you will need at home."	160	
44	2nd Trimester	15	3	Malaria	Pregnancy	N/A	"Madam, if you have a fever, headache, joint pains, poor appetite, nausea, vomiting, diarrhoea, chest pain or look pale, see a Doctor now and test for Malaria."	158	
45	2nd Trimester	15	5	Nutrition	Pregnancy	N/A	"Madam, eat 4 meals a day and in between meals. Eat a variety of food like fruit, vegetables, bread, rice, milk, eggs, and meat for a healthy pregnancy."	151	
46	2nd Trimester	16	1	Birth Planning	Pregnancy	N/A	"Madam, have you told someone you trust about your pregnancy? Talk to a friend or family member for support."	107	
47	2nd Trimester	16	3	Birth Planning	Pregnancy	N/A	"Dear expectant Mother, if you are operated upon when giving birth you may need to stay longer at the health facility. Plan for at least four days just in case."	159	
48	2nd Trimester	16	5	Malaria	Pregnancy	N/A	"Madam, get SP or Fansidar from the health facility to prevent malaria. If you missed the first dose, it is never too late to start and it is safe for the baby."	159	
49	2nd Trimester	17	1	Other	Pregnancy	N/A	"Dear expectant Parents, all children are equal, do not get depressed about the sex of the baby and be thankful for the blessing of a child."	139	
50	2nd Trimester	17	3	Danger Signs	Pregnancy	N/A	"Madam, go to health facility NOW if you have danger signs like bleeding, fever, headache, sudden poor vision, body swelling, shaking or pain in lower abdomen. "	159	
51	2nd Trimester	17	5	ANC	Pregnancy	N/A	"Dear Couple, if the pregnancy is complicated the expectant mother will need to see a doctor more than four times. Follow the health workers advice."	147	
52	2nd Trimester	18	1	ANC	Pregnancy	N/A	Health Tip: Going to a health facility during pregnancy can help you get information about diseases and general health care. Feel free to ask your VHT or doctor	160	
53	2nd Trimester	18	3	Nutrition	Pregnancy	N/A	"Health Tip: Expectant mothers should eat nutritious food such as meat, fish, eggs, fruits and vegetables for a healthy pregnancy. "	130	
54	2nd Trimester	18	5	Hygiene	Pregnancy	N/A	"Madam, keep clean for good health, bathe and brush your teeth regularly, wash your hands after using the latrine, before eating and before preparing food."	154	
